Element, data.x, data.y, data.z, data.w
93,402.6734313964844,1499.82421875,974.3137817382812,0.10000000149011612
94,-0.1520906388759613,0.9077377915382385,-0.3909996747970581,0.0
95,-1.2853047847747803,-0.14981959760189056,0.0,-0.1521933674812317
96,-0.21538013219833374,0.8934110403060913,0.0,0.9075661897659302
97,-6.61329977447167e-05,2.13240385055542,0.0,-0.3913577198982239
98,0.0,0.0,10.0,0.0
99,-0.9862291216850281,-0.06472454965114594,-0.1521933674812317,0.0
100,-0.1653846651315689,0.3859683871269226,0.9075661897659302,0.0
101,1.4901160305669237e-08,0.9202386736869812,-0.3913577198982239,0.0
102,0.0,0.0,0.0,1.0
103,-0.9862291216850281,-0.1653846651315689,1.4901160305669237e-08,0.0
104,-0.06472454965114594,0.3859683871269226,0.9202386736869812,0.0
105,-0.1521933674812317,0.9075661897659302,-0.3913577198982239,0.0
106,0.0,0.0,0.0,1.0
107,-0.9862291216850281,-0.06472454965114594,-0.1521933674812317,0.0
108,-0.1653846651315689,0.3859683871269226,0.9075661897659302,0.0
109,1.4901160305669237e-08,0.9202386736869812,-0.3913577198982239,0.0
110,0.0,0.0,0.0,1.0
111,-0.9862291216850281,-0.1653846651315689,1.4901160305669237e-08,0.0
112,-0.06472454965114594,0.3859683871269226,0.9202386736869812,0.0
113,-0.1521933674812317,0.9075661897659302,-0.3913577198982239,0.0
114,0.0,0.0,0.0,1.0
115,4026.734375,14998.2421875,9743.1376953125,0.0
116,4026.734375,14998.2421875,9743.1376953125,0.0
117,-4026.734375,-14998.2421875,-9743.1376953125,0.0
118,-0.7567600607872009,-0.12690408527851105,1.143405992110047e-08,0.0
119,-0.027936497703194618,0.16659219563007355,0.39719465374946594,0.0
120,402.6734313964844,1499.82421875,974.3137817382812,0.10000000149011612
121,-0.1520906388759613,0.9077377915382385,-0.3909996747970581,0.0
122,-0.7567600607872009,-0.12690408527851105,1.143405992110047e-08,0.0
123,-0.027936497703194618,0.16659219563007355,0.39719465374946594,0.0
124,-0.1520906388759613,0.9077377915382385,-0.3909996747970581,0.0
125,0.0,0.0,0.0,1.0
126,0.4996621608734131,-0.5,0.4996621608734131,0.5
127,0.9999999403953552,2.026256495923917e-09,0.0,2.975772961377743e-09
128,-3.462520048458373e-09,1.0000001192092896,0.0,0.0
129,0.0,0.0,1.0,0.0
130,-2.2501161822674476e-08,-5.960464477539063e-08,0.0,1.0000001192092896
131,-0.0005070993793196976,-0.0003004807804245502,0.0001690331264398992,-0.000901442370377481
132,0.0,0.0,0.0,-0.0
133,1.3089966773986816,0.8149310946464539,1.3089966773986816,0.8149310946464539
134,0.0,0.0,0.0,0.0
135,1479.0,832.0,0.0006761325057595968,0.0012019231216982007
136,0.0,0.0,2.0725204287364044e-42,1.1658803223182478e-42
137,1.0,1.0,1.0,1.0
138,1480.0,832.0,0.0006756756920367479,0.0012019231216982007
139,0.00033783784601837397,0.0006009615608491004,0.9989864826202393,0.9993990659713745
140,1.5356913805007935,-0.8632426857948303,-0.767326831817627,0.43162134289741516
141,1.401298464324817e-45,1.0,1.0,0.0
142,0.0,0.0,0.0,1.0
143,0.0,0.0,0.0,1.0
144,0.0,0.0,0.0,1.0
145,0.0,1.0,368.2767333984375,369.6239013671875
146,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,1.0
148,10.0,98.36821746826172,369.64056396484375,369.64056396484375
149,0.01665380224585533,-0.37648430466651917,0.770312488079071,3.297115156709862e-41
150,2.6648492896065046e-41,4.203895392974451e-45,2.8478588690473257e-41,0.0
151,0.0,0.0,0.0,0.0
152,1.6509315967559814,1.4462722539901733,1.1367043256759644,1.5813689231872559
153,-0.6542932391166687,-0.23745107650756836,0.7179953455924988,0.0
154,1734.38037109375,14131.98828125,7130.23095703125,0.015625
155,-3635.969970703125,12191.1923828125,855.5224609375,0.015625
156,0.0002432424807921052,0.00024324242258444428,0.00024324245168827474,64.23631286621094
157,7.305478357011452e-05,7.305477629415691e-05,7.305478357011452e-05,213.88058471679688
158,3.0,4.0,-0.375,0.125
159,0.0,1.0,0.0,0.0
160,0.0,24.576000213623047,0.0,0.0
161,50.0,0.0,300.0,500.0
162,73.94999694824219,1.0,1.0,0.0
163,1.0,1.0,1.0,0.0
164,0.0,0.0,0.0,0.0
165,0.0,0.0,0.0,0.0
166,3.4028234663852886e+38,0.0,1.0,0.0
167,-0.6543347835540771,-0.2373947948217392,0.7179761528968811,1.0
168,0.6543346643447876,0.23739510774612427,-0.717976450920105,1.0
169,10.0,10.0,10.0,1.0
170,10.0,10.0,10.0,1.0
171,10.0,10.0,10.0,0.0
172,10.0,10.0,10.0,0.0
173,0.0,0.0,0.0,1.0
174,0.0,0.0,0.0,1.0
175,1.0,0.0,0.0,1.0
176,1.0,0.0,0.0,1.0
177,1.0,1.0,1.0,1.0
178,4026.734375,14998.2421875,9743.1376953125,0.0
179,0.0,0.0,0.0,0.0
180,1.0,0.0,0.0,0.0
181,0.0,1.0,0.0,0.0
182,0.0,0.0,1.0,0.0
183,0.0,0.0,0.0,1.0
184,1.0,1.0,1.0,1.0
185,0.0,0.0,1.0,1.0
186,1.0,1.0,1.0,1.0
187,1.0,1.0,1.0,1.0
188,1.0,0.0,0.0,0.0
189,1.0,0.0,0.3330000042915344,0.0
190,0.0,1.0,0.0,0.0
191,1.0,1.0,1.0,1.0
192,0.0,0.0,1.0,1.0
193,0.46325692534446716,0.5749915242195129,0.831054151058197,0.8340084552764893
194,1.0,1.0,0.0,0.0
195,1.0,1.0,1.0,1.0
196,0.0,0.0,0.0,0.0
197,0.0,0.004563574213534594,0.18459060788154602,1.0
198,1.0,1.0,1.2999999523162842,300.0
199,0.10000000149011612,0.4000000059604645,0.10000000149011612,0.0
200,0.0,0.0,0.0,0.0
201,0.0,0.0,0.0,0.0
202,0.0,0.0,0.0,0.0
203,0.0,0.0,0.0,0.0
204,0.0,0.0,0.0,0.0
205,0.0,0.0,0.0,0.0
206,0.0,0.0,0.0,0.0
207,0.0,0.0,0.0,0.0
208,0.0,1.0,6.0,1.0
209,1.401298464324817e-45,0.800000011920929,0.0,0.0
210,4.999999523162842,-0.4999999701976776,10000.0,0.0
211,0.0,0.0,0.0,1.0
212,0.0,0.0,0.0,1.0
213,0.0,0.0,0.0,1.0
214,0.0,0.0,0.0,1.0
215,0.0,0.0,0.0,1.0
216,0.0,0.0,0.0,1.0
217,0.0,0.0,0.0,1.0
218,0.0,0.0,0.0,1.0
219,0.0,0.0,0.0,0.0
220,0.0,0.0,0.0,0.0
221,0.01075268816202879,0.01923076994717121,0.0078125,0.0
222,0.00024681040667928755,0.9951872229576111,64.0,0.0
